SNO,Category,States/UTs,Adjusted Net Enrolment Ratio (ANER) in elementary education (class 1-8),Average annual dropout rate at secondary level (class 9-10),Gross Enrolment Ratio (GER) in higher secondary (class 11-12),Percentage of students in grade VIII achieving atleast a minimum proficiency level in terms of nationally defined learning outcomes to be attained by the pupils at the end of the grade,Gross Enrolment Ratio (GER) in higher education (18-23 years),Percentage of persons with disability (15 years and above) who have completed at least secondary education,Gender Parity Index (GPI) for higher education (18-23 years),Percentage of persons (15 years and above) who are literate,"Percentage of schools with access to basic infrastructure (electricity,drinking water)",Percentage of trained teachers at secondary level (class 9-10),Pupil Teacher Ratio (PTR) at secondary level (class 9-10)
32,Union Territory,Daman and Diu,79.13,21.66,33.21,65.5,5.5,37.4,2.34,88.3,100,83.8407494145199,15
33,Union Territory,Delhi,100,14.93,70.07,67.35,46.3,41,1.16,86.4,100,89.32937546381284,29
34,Union Territory,Jammu and Kashmir,67.88,17.81,42.31,59.75,30.9,19.7,1.09,76.4,80.13666352497643,80.09377817853922,12
35,Union Territory,Ladakh ,67.88,17.81,42.31,59.75,30.9,19.7,1.09,76.4,80.13666352497643,80.09377817853922,12
36,Union Territory,Lakshadweep,75.27,4.56,73.5,65.25,7.4,18,3.4,95.7,100,86.20689655172413,7
37,Union Territory,Puducherry,84.15,12.73,69.78,61.300000000000004,46.4,28.6,1.24,89.5,99.93234100135318,92.5705794947994,11
,,India,87.26,17.87,50.14,71.875,26.3,19.3,1,74.6,84.76441381517233,82.62273457338273,21
,,Target,100,8.8,100,100,50,100,1,100,100,100,30
,,Data Source,"UDISE+,MoE","UDISE+,MoE","UDISE+,MoE",Department of School Education. Sourced from MoSPI NIF Progress Report 2020 V2.1,"AISHE 2018-19, Department of Higher Education",NSS Report No. 583: Persons with Disabilities in India,"AISHE 2018-19, Department of Higher Education",PLFS 2018-19,MoE,MoE,"UDISE+,MoE"
,,Data Period,2018-19,2018-19,2018-19,2017-18,2018-19,Jul-Dec 2018,2018-19,2018-19,2018-19,2018-19,2018-19
